,n,cost,heaviest,lightest
0,5,2,9.0,0.0
1,5,18,7.0,0.0
2,5,8,8.0,0.0
3,5,2,8.0,0.0
4,5,32,9.0,0.0
5,5,2,5.0,0.0
6,5,18,9.0,0.0
7,5,32,9.0,0.0
8,5,2,9.0,0.0
9,5,2,9.0,0.0
10,5,50,9.0,0.0
11,5,2,8.0,0.0
12,5,2,9.0,0.0
13,5,2,8.0,0.0
14,5,2,7.0,0.0
15,5,2,9.0,0.0
16,5,50,9.0,0.0
17,5,50,9.0,0.0
18,5,2,9.0,0.0
19,5,8,6.0,0.0
20,6,2,9.0,0.0
21,6,18,6.0,0.0
22,6,2,8.0,0.0
23,6,8,9.0,0.0
24,6,2,5.0,0.0
25,6,32,9.0,0.0
26,6,2,8.0,0.0
27,6,8,9.0,0.0
28,6,18,8.0,0.0
29,6,2,8.0,0.0
30,6,2,9.0,0.0
31,6,8,9.0,0.0
32,6,18,8.0,0.0
33,6,2,7.0,0.0
34,6,2,9.0,0.0
35,6,18,9.0,0.0
36,6,2,9.0,0.0
37,6,8,6.0,0.0
38,6,2,9.0,0.0
39,6,8,9.0,0.0
40,7,2,9.0,0.0
41,7,18,8.0,0.0
42,7,2,9.0,0.0
43,7,8,8.0,0.0
44,7,2,8.0,0.0
45,7,32,9.0,0.0
46,7,2,9.0,0.0
47,7,18,8.0,0.0
48,7,2,8.0,0.0
49,7,2,9.0,0.0
50,7,2,8.0,0.0
51,7,2,7.0,0.0
52,7,2,8.0,0.0
53,7,18,9.0,0.0
54,7,2,9.0,0.0
55,7,2,8.0,0.0
56,7,2,9.0,0.0
57,7,32,8.0,0.0
58,7,2,8.0,0.0
59,7,2,8.0,0.0
60,8,2,9.0,0.0
61,8,2,8.0,0.0
62,8,8,9.0,0.0
63,8,2,8.0,0.0
64,8,2,9.0,0.0
65,8,2,9.0,0.0
66,8,50,9.0,0.0
67,8,2,9.0,0.0
68,8,2,8.0,0.0
69,8,2,7.0,0.0
70,8,2,9.0,0.0
71,8,2,9.0,0.0
72,8,2,8.0,0.0
73,8,2,9.0,0.0
74,8,2,9.0,0.0
75,8,2,9.0,0.0
76,8,2,7.0,0.0
77,8,2,9.0,0.0
78,8,18,9.0,0.0
79,8,2,9.0,0.0
